Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes)
"UA","12/21/2022","2626","N47505","IAD","16:52","16:46","302","284","-6"
"UA","12/21/2022","2628","N471UA","PSP","08:35","08:30","102","86","-5"
"UA","12/21/2022","2630","N73259","PHL","23:04","23:05","323","309","1"
"UA","12/21/2022","2640","N75861","ORD","10:36","10:36","259","248","0"
"UA","12/21/2022","2641","N33286","SAN","18:45","18:40","98","86","-5"
"UA","12/21/2022","2644","N69888","RDU","09:10","09:04","310","288","-6"
"UA","12/21/2022","2655","N37507","MSY","10:35","10:29","245","224","-6"
"UA","12/21/2022","2656","N77430","SAN","22:35","23:57","101","84","82"
"UA","12/21/2022","2678","N33286","LAS","13:09","13:15","100","83","6"
"UA","12/21/2022","2680","N460UA","SNA","13:25","13:22","96","77","-3"
"UA","12/21/2022","2682","N846UA","BUR","10:45","10:48","84","65","3"
"UA","12/22/2022","0190","N37514","HNL","18:55","19:04","349","371","9"
"UA","12/22/2022","0221","N47517","MCO","23:08","23:05","315","287","-3"
"UA","12/22/2022","0300","N778UA","HNL","13:10","13:24","336","318","14"
"UA","12/22/2022","0372","N14242","PHX","16:35","16:27","123","115","-8"
"UA","12/22/2022","0436","N37528","BWI","22:59","23:04","312","286","5"
"UA","12/22/2022","0447","N414UA","SEA","16:31","17:51","144","124","80"
"UA","12/22/2022","0451","N37541","ORD","14:00","14:05","258","322","5"
"UA","12/22/2022","0476","N211UA","ORD","23:55","23:53","246","226","-2"
"UA","12/22/2022","0487","N37536","IAD","10:50","10:53","304","293","3"
"UA","12/22/2022","0505","N780UA","IAH","23:55","23:52","222","202","-3"
"UA","12/22/2022","0568","N68836","DEN","11:00","11:09","162","172","9"
